ID,Context,Source,comments,DE,ES,FR,garbled,JA,lengthened,PT,RU,ZH-Hans
TXT_NeedsBreathableAtmosphere_Content,Frontend,Needs Breathable Atmosphere,,Benötigt atembare Atmosphäre,Requiere una Atmósfera Respirable,Requiert une atmosphère respirable.,,人が呼吸できる大気が必要です,,Requer atmosfera respirável,Требуется пригодная для дыхания атмосфера,需要大气达到适宜呼吸的状态
TXT_BuildingLimitReached_Content,Frontend,Building Limit Reached,,Gebäude-Limit erreicht,Límite de Construcciones Alcanzado,Maximum de bâtiments atteint,,施設上限数に達しました,,Limite de estruturas atingido,Достигнут лимит построек,建筑数量达到上限
TXT_SpaceportLimitReached_Content,Frontend,Spaceport Limit Reached,,Raumhafen-Limit erreicht,Límite de Puertos Alcanzado,Maximum de spatioports atteint,,宇宙港上限数に達しました,,Limite de espaçoportos atingido,Достигнут лимит космопортов,航天中心数量达到上限
TXT_PolarAreaProhibited_Content,Frontend,Unreachable Polar Zone,,Unerreichbare Polarzone,Zona Polar Inaccesible,Zone polaire inatteignable,,侵入できない極地です,,Zona polar inalcançável,Недоступная полярная зона,基地区域无法进入
TXT_RivalAreaProhibited_Content,Frontend,Hostile Base Nearby,,Feindliche Basis in der Nähe,Base Hostil en la Cercanías,Base hostile à proximité,,敵の基地に接近,,Base hostil próxima,Поблизости вражеская база,附近存在敌对基地
TXT_InsufficientExtractionLevel_Content,Frontend,Needs Higher Level Mine,,Benötigt eine höherstufige Mine,Necesita Una Mina De Mayor Nivel,Mine de plus haut niveau requise,,より高いレベルの採鉱所が必要,,Requer mina de nível mais alto,Требуется шахта более высокого уровня,需要更高等级的矿场
TXT_NotEnoughValidTerrain_Content,Frontend,Needs More Arable Land,,Benötigt mehr kultivierbares Land,Necesita Mayor Superficie Cultivable,Nécessite plus de terres arables,,さらに耕作可能地が必要です,,Requer mais terra arável,Мало пригодных для использования земель,需要更多可耕地
TXT_FarmTooClose_Content,Frontend,Farm Too Close,,Farm zu nah,Granja Demasiado Cerca,Ferme trop proche,,施設が近すぎます,,Fazenda próxima demais,Слишком близко от фермы,农场距离太近
TXT_Pipes_PumpingWater,Frontend,Pumping Water,,Pumpt Wasser,Bombeando Agua,Pompe de l'eau,,水をくみ上げ中,,Bombeando água,Качает воду,正在泵水
TXT_Pipes_NotEnoughWater,Frontend,Not enough water,,Nicht genug Wasser,Agua insuficiente,Pas assez d'eau,,水が足りません,,Água insuficiente,Недостаточно воды,供水不足
TXT_Pipes_NoWaterSupplyLegend,Frontend,No water supply,,Keine Wasserversorgung,Sin suministro de agua,Aucune réserve d'eau,,給水源がありません,,Sem fornecimento de água,Водоснабжение отсутствует,没有供水
TXT_NeedsWaterLevelReason,Frontend,Needs To Be Near Water,,Benötigt Wasser in der Nähe,Necesita Estar Cerca Del Agua,Doit se trouver près de l'eau,,水が付近にありません,,Precisa estar perto da água,Далеко от воды,需要靠近水源
TXT_location_north,Frontend,N,,N,N,N,,北,,N,С,北
TXT_location_south,Frontend,S,,S,S,S,,南,,S,Ю,南
TXT_location_east,Frontend,E,,O,E,E,,東,,L,В,东
TXT_location_west,Frontend,W,,W,O,O,,西,,O,З,西
TXT_wayUpgrade_distance,Frontend,Distance>>>,,Entfernung>>>,Distancia>>>,Distance>>>,,距離>>>,,Distância>>>,Расстояние>>>,距离>>>
TXT_wayUpgrade_costPerDistance,Frontend,Cost per distance,,Kosten pro Entfernung,Costo por distancia,Coût en fonction de la distance,,距離ごとのコスト,,Custo por distância,Расчётная стоимость,单位距离的成本
TXT_HyperloopConnection_TooClose,Frontend,Too Close,,Zu nah,Muy Cerca,Trop proche,,距離が近すぎます,,Muito perto,Слишком близко,距离太近
TXT_HyperloopConnection_TooFar,Frontend,Too Far,,Zu weit entfernt,Muy Lejos,Trop éloigné,,距離が遠すぎます,,Muito longe,Слишком далеко,距离太远
TXT_HyperloopConnection_NoConnections,Frontend,No Connections Available,,Keine Verbindungen verfügbar,No Hay Conexiones Disponibles,Aucune connexion disponible,,接続できません,,Sem conexões disponíveis,Нет станций для связи,目前没有连接
TXT_HyperloopConnection_AlreadyConnected,Frontend,Already Connected,,Bereits verbunden,Está Conectada,Déjà connecté,,接続されています,,Conexão estabelecida,Уже связана,已经连接
TXT_HyperloopConnection_NotBuilt,Frontend,Not Built,,Nicht gebaut,Sin Construir,Non construit,,構築されていません,,Não construído,Не построена,尚未建造
TXT_HyperloopConnection_Rubble,Frontend,Rubble,,Schutt,Residuos,Gravats,,瓦礫,,Entulho,Остатки,建筑废料
TXT_HyperloopConnection_ConnectionClick,Frontend,Click To Connect,,Zum Verbinden klicken,Haz Clic Para Conectar,Cliquez pour vous connecter,,クリックで接続,,Clique para conectar,"Нажмите, чтобы связать",点击连接
TXT_terraformingScreen_phaseObjective,Frontend,Stage Objective,,Phasenziel,Objetivo de la Fase,Objectif de la phase,,現段階の目標,,Objetivo da fase,Цель этапа,阶段目标
TXT_resarchWidget_SelectionPending,Frontend,Selection Pending,,Auswahl ausstehend,Selección Pendiente,Sélection en attente,,未選択,,Seleção pendente,Ожидает выбора,等待选择
TXT_resarchWidget_AllTechsResearched,Frontend,All Techs Investigated,,Alle Technologien erforscht,Todas las Tecnologías Fueron Investigadas,Toutes les technologies ont été apprises,,全技術を研究済,,Todas as tecnologias investigadas,Все технологии исследованы,所有科技研究完毕
TXT_save_panel_no_directive,Frontend,No Directives,,Keine Direktiven,Sin Directivas,Pas de directive,,方針なし,,Sem diretrizes,Директивы отсутствуют,没有指示
TXT_Space_SectorPermission,Frontend,Needs Authorization To Unlock,,Zum Freischalten Genehmigung erforderlich,Necesita Autorización Para Liberarse,Autorisation nécessaire pour débloquer,,アンロックの認可待ち,,Requer autorização para desbloquear,Доступ требует разрешения,解锁需要授权
TXT_District_Name,Frontend,{0} District,,Distrikt {0},Distrito {0},District : {0},,{0}地区,,Distrito de {0},Район «{0}»,第{0}区
TXT_spaceViewController_state_NotAvailable,Frontend,NOT AVAILABLE,,NICHT VERFÜGBAR,NO ESTÁ DISPONIBLE,NON DISPONIBLE,,利用不可,,INDISPONÍVEL,НЕДОСТУПНО,暂不可用
TXT_spaceViewController_launches,Frontend,{0}/{1} LAUNCHES,,{0}/{1} STARTS,{0}/{1} LANZAMIENTOS,LANCEMENTS : {0}/{1},,{0}/{1} 発射,,{0}/{1} LANÇAMENTOS,ЗАПУСКИ: {0}/{1},{0}/{1}次发射
TXT_spaceViewController_launches2,Frontend,{0}/{1} launches,,{0}/{1} Starts,{0}/{1} lanzamientos,Lancements : {0}/{1},,{0}/{1} 発射,,{0}/{1} lançamentos,Запуски: {0}/{1},{0}/{1}次发射
TXT_spaceViewController_state_inProgress,Frontend,IN PROGRESS,,IM GANGE,EN CURSO,EN COURS,,進行中,,EM ANDAMENTO,ИДЁТ РАБОТА,正在进行
TXT_spaceViewController_state_ongoing,Frontend,ONGOING,,LAUFEND,EN MARCHA,EN COURS,,進行中,,EM CURSO,В ПРОЦЕССЕ,长期
TXT_spaceViewController_state_hidden,Frontend,HIDDEN,,VERBORGEN,OCULTOS,CACHÉ,,非表示,,OCULTO,СКРЫТО,隐藏
TXT_spaceViewController_state_available,Frontend,AVAILABLE,,VERFÜGBAR,DISPONIBLE,DISPONIBLE,,利用可,,DISPONÍVEL,ДОСТУПНО,可以启动
TXT_spaceViewController_state_done,Frontend,DONE,,FERTIG,FINALIZADOS,TERMINÉ,,終了,,FEITO,ВЫПОЛНЕНО,完成
TXT_spaceViewController_state_expired,Frontend,Expired,,Abgelaufen,Concluidos,Arrivé à expiration,,期限切れ,,Expirou,Просрочено,过期
TXT_Units_MW_old,Frontend,MW,,MW,MW,MW,,MW,,MW,мВт,兆瓦
TXT_Units_MW_sols_old,Frontend,MW-sols,,MW-Sol,MW-Soles,MWsol,,MW-火星日,,MW-sols,мВт/сут.,兆瓦日
TXT_Units_RPs_old,Frontend,RPs,,FP,PIs,PR,,RP,,PP,ОИ,科研点数
TXT_Units_RP_old,Frontend,RP,,FP,PI,PR,,RP,,PP,ОИ,科研点数
TXT_Units_Alt_old,Frontend,alt.,,alt.,alt.,alt,,標高,,alt.,выс.,海拔：
TXT_Units_km_old,Frontend,km.,,km,km.,km,,km,,km.,км,千米
TXT_Units_mbar_old,Frontend,mbar,,mbar,mbar,mbar,,mbar,,mbar,мАтм,毫巴
TXT_Units_Km_old,Frontend,Km,,km,Km.,km,,Km,,Km,км,千米
TXT_Units_M_old,Frontend,M,,M,M,M,,M,,M,мес.,米
TXT_Units_meter_old,Frontend,m,,m,m,m,,m,,m,м,米
TXT_Units_MW,Frontend,{0:0}<size={1}%> MW</size>,,{0:0}<size={1}%> MW</size>,{0:0}<size={1}%> MW</size>,{0:0}<size={1}%> MW</size>,,{0:0}<size={1}%> MW</size>,,{0:0}<size={1}%> MW</size>,{0:0}<size={1}%> мВт</size>,{0:0}<size={1}%>兆瓦</size>
TXT_Units_MW_sols,Frontend,{0:0.#} MW-sols,,{0:0.#} MW-Sol,{0:0.#} MW-soles,{0:0.#} MWsol,,{0:0.#} MW-火星日,,{0:0.#} MW-sols,{0:0.#} мВт/сут.,{0:0.#}兆瓦日
TXT_Units_RPs,Frontend,{0:0.#} <size={1}%> RPs</size>,,{0:0.#} <size={1}%> FP</size>,{0:0.#} <size={1}%> PIs</size>,{0:0.#} <size={1}%> PR</size>,,{0:0.#} <size={1}%> RP</size>,,{0:0.#} <size={1}%> PP</size>,{0:0.#} <size={1}%> ОИ</size>,{0:0.#}<size={1}%>科研点数</size>
TXT_Units_RP0,Frontend,{0:0} RP,,{0:0} FP,{0:0} RP,{0:0} PR,,{0:0} RP,,{0:0} PP,{0:0} ОИ,{0:0}科研点数
TXT_Units_RPs0,Frontend,{0:0} RPs,,{0:0} FP,{0:0} RPs,{0:0} PR,,{0:0} RP,,{0:0} PP,{0:0} ОИ,{0:0}科研点数
TXT_Units_RPs_ratio,Frontend,{0:0}/{1:0} RPs,,{0:0}/{1:0} FP,{0:0}/{1:0} RPs,{0:0}/{1:0} PR,,{0:0}/{1:0} RP,,{0:0}/{1:0} PP,{0:0}/{1:0} ОИ,{0:0}/{1:0}科研点数
TXT_Units_km,Frontend,{0:0.# km.},,{0:0.# km.},{0:0.# km.},{0:0.# km.},,{0:0.# km.},,{0:0.# km.},{0:0.# км},{0:0.# 千米}
TXT_Units_mbar,Frontend,{0:0.##} mbar,,{0:0.##} mbar,{0:0.##} mbar,{0:0.##} mbar,,{0:0.##} mbar,,{0:0.##} mbar,{0:0.##} мАтм.,{0:0.##}毫巴
TXT_Units_mbar_long,Frontend,{0:0.#####} mbar,,{0:0.#####} mbar,{0:0.#####} mbar,{0:0.#####} mbar,,{0:0.#####} mbar,,{0:0.#####} mbar,{0:0.#####} мАтм.,{0:0.#####}毫巴
TXT_Units_mbar_percent,Frontend,{0:0.##} mbar ({1}),,{0:0.##} mbar ({1}),{0:0.##} mbar ({1}),{0:0.##} mbar ({1}),,{0:0.##} mbar ({1}),,{0:0.##} mbar ({1}),{0:0.##} мАтм. ({1}),{0:0.##}毫巴（{1}）
TXT_Units_mbar_short,Frontend,{0:0.#} mbar,,{0:0.#} mbar,{0:0.#} mbar,{0:0.#} mbar,,{0:0.#} mbar,,{0:0.#} mbar,{0:0.#} мАтм.,{0:0.#}毫巴
TXT_Units_mbar_small,Frontend,{0:0} mbar,,{0:0} mbar,{0:0} mbar,{0:0} mbar,,{0:0} mbar,,{0:0} mbar,{0:0} мАтм.,{0:0}毫巴
TXT_Units_microbar_long,Frontend,{0:0.#####} <i>u</i>bar,,{0:0.#####} <i>u</i>bar,{0:0.#####} <i>u</i>bar,{0:0.#####} <i>u</i>bar,,{0:0.#####} <i>u</i>bar,,{0:0.#####} <i>u</i>bar,{0:0.#####} мкАтм.,{0:0.#####}<i>微</i>巴
TXT_Units_tempC,Frontend,{0:0.##} °C,,{0:0.##} °C,{0:0.##} °C,{0:0.##} °C,,{0:0.##} °C,,{0:0.##} °C,{0:0.##} °C,{0:0.##}摄氏度
TXT_Units_tempC_percent,Frontend,{0:0.##} °C ({1}),,{0:0.##} °C ({1}),{0:0.##} °C ({1}),{0:0.##} °C ({1}),,{0:0.##} °C ({1}),,{0:0.##} °C ({1}),{0:0.##} °C ({1}),{0:0.##}摄氏度（{1}）
TXT_Units_tempC_short,Frontend,{0:0.#}°C,,{0:0.#} °C,{0:0.#}°C,{0:0.#} °C,,{0:0.#}°C,,{0:0.#}°C,{0:0.#}°C,{0:0.#}摄氏度
TXT_Units_tempC_small,Frontend,{0:0}°C,,{0:0} °C,{0:0}°C,{0:0} °C,,{0:0}°C,,{0:0}°C,{0:0}°C,{0:0}摄氏度
TXT_Units_Km,Frontend,{0:0.#} Km,,{0:#} km,{0:0.#} Km,{0:#} km,,{0:#} Km,,{0:#} Km,{0:#} км,{0:#}千米
TXT_Units_months_short,Frontend,{0:0} M,,{0:0} M,{0:0} M,{0:0} M,,{0:0} M,,{0:0} M,{0:0} M,{0:0}月
TXT_Units_meters_short,Frontend,{0:0} m,,{0:0} m,{0:0} m,{0:0} m,,{0:0} m,,{0:0} m,{0:0} м,{0:0}米
TXT_Units_ML,Frontend,{0:0}<size={1}%> ML</size>,,{0:0}<size={1}%> ml</size>,{0:0}<size={1}%> ML</size>,{0:0}<size={1}%> Ml</size>,,{0:0}<size={1}%> ML</size>,,{0:0}<size={1}%> ml</size>,{0:0}<size={1}%> Мл</size>,{0:0}<size={1}%>毫升</size>
TXT_Units_ML2,Frontend,{0:0}/{1:0}<size={2}%> ML</size>,,{0:0}/{1:0}<size={2}%> ml</size>,{0:0}/{1:0}<size={2}%> ML</size>,{0:0} <size={2}%> Ml</size>/{1:0},,{0:0}/{1:0}<size={2}%> ML</size>,,{0:0}/{1:0}<size={2}%> ml</size>,{0:0}/{1:0}<size={2}%> Мл</size>,{0:0}/{1:0}<size={2}%>毫升</size>
TXT_spaceViewController_singleLaunch,Frontend,{0} LAUNCH,,{0} START,{0} Lanzamiento,LANCER : {0},,{0} 発射,,{0} LANÇAMENTO,ЗАПУСК: {0},{0}次发射
TXT_Percentages,Frontend,{0}/{1}%,,{0}/{1}%,{0}/{1}%,{0} %/{1},,{0}/{1}%,,{0}/{1}%,{0}/{1}%,{0}/{1}%
TXT_NoPipes_Content,Frontend,Needs water supply network,,Benötigt Wasserversorgungsnetz,Necesita suministro de agua.,Nécessite un réseau d'alimentation en eau,,配水網が必要です,,Requer rede de abastecimento de água,Нет водоснабжения,需要供水网络
TXT_PercentagesMin,Frontend,{0}%<br><size=70%>(min {1}%)</size>,,{0}%<br><size=70%>(min. {1}%)</size>,{0}%<br><size=70%>(min {1}%)</size>,{0} %<br><size=70%>(min {1} %)</size>,,{0}%<br><size=70%>(最小{1}%)</size>,,{0}%<br><size=70%>(min {1}%)</size>,{0}%<br><size=70%>(мин. {1}%)</size>,{0}%<br><size=70%>（最低{1}%）</size>
TXT_Units_mbar_year,Frontend,{0:0.0#} mbar/yr,,{0:0.0#} mbar/J,{0:0.0#} mbar/a.,{0:0.0#} mbar/an,,{0:0.0#} mbar/年,,{0:0.0#} mbar/ano,{0:0.0#} мАтм/г,{0:0.0#}毫巴/年
TXT_Units_mbar_year_percent,Frontend,{0:0.##} mbar/yr ({1}),,{0:0.##} mbar/J ({1}),{0:0.##} mbar/a. ({1}),{0:0.##} mbar/an ({1}),,{0:0.##} mbar/年 ({1}),,{0:0.##} mbar/ano ({1}),{0:0.##} мАтм/г ({1}),{0:0.##}毫巴/年（{1}）
TXT_Units_hour_minute_second,Frontend,{0}:{1}:{2},,{0}:{1}:{2},{0}:{1}:{2},{0}:{1}:{2},,{0}:{1}:{2},,{0}:{1}:{2},{0}:{1}:{2},{0}时{1}分{2}秒
TXT_Units_MW_years,Frontend,{0:0.#} MW-years,,{0:0.#} MW-Jahre,{0:0.#} MW-años,{0:0.#} MW-an,,{0:0.#} MW-年,,{0:0.#} MW-anos,{0:0.#} мВт.г,{0:0.#}兆瓦年
TXT_wayUpgrade_maximumLevelReached,Frontend,Fully upgraded,,Vollständig verbessert,Mejorado al máximo,Pleinement amélioré,,最大までアップグレード済み,,Totalmente aprimorado,Полностью улучшена,等级现已达到上限
TXT_NeedsOceanReason,Frontend,Needs a Body of Water,,Benötigt Gewässer,Requiere un cuerpo de Agua,Nécessite une étendue d'eau,,水域に設置してください,,Requer um corpo d'água,Нельзя строить не на воде,需要毗邻水体或位于水体之中
TXT_UnderRiver,Frontend,In a River,,In einem Fluss,En un Rio,Cours d'eau,,水上です,,Em um rio,В реке,选址妥当
TXT_NeedsAquaticPlacement,Frontend,Requires Aquatic Structures,,Erfordert aquatische Gebäude,Requiere una Estructura Acuática,Nécessite des structures aquatiques,,水上施設が必要です,,Requer estruturas aquáticas,Требуется технология «Надводные постройки»,需要建设涉水建筑设施
TXT_DialoguePanel_Introspection_Thread,Frontend,INTROSPECTION THREAD,,INTROSPEKTION,HILO INTROSPECTIVO,FIL D'INTROSPECTION,,イントロスペクションスレッド,,TÓPICO INTROSPECTIVO,РЕФЛЕКСИЯ,内观模式
TXT_DialoguePanel_reflection,Frontend,REFLECTION,,REFLEXION,REFLEXIÓN,RÉFLEXIONS,,リフレクション,,REFLEXÃO,РЕФЛЕКСИЯ,沉思
TXT_DialoguePanel_Incoming_Call,Frontend,INCOMING CALL,,EINGEHENDER ANRUF,LLAMADA ENTRANTE,APPEL ENTRANT,,受信,,RECEBENDO CHAMADA,ВХОДЯЩИЙ ЗВОНОК,通话邀请等待接受
TXT_DialoguePanel_Data_Received,Frontend,Data Received: {0}-{1},,Empfangene Daten: {0}-{1},Datos Recibidos: {0}-{1},Données reçues : {0}-{1},,受信した日付：{0}-{1},,Dados recebidos: {0}-{1},Получено: {0}–{1},收到数据：{0}-{1}
TXT_DialoguePanel_Communication_Module,Frontend,COMMUNICATION MODULE,,KOMMUNIKATIONSMODUL,MÓDULO DE COMUNICACIÓN,MODULE DE COMMUNICATION,,コミュニケーションモジュール,,MÓDULO DE COMUNICAÇÃO,МОДУЛЬ СВЯЗИ,通信模块
TXT_DialoguePanel_Communication_Module_short,Frontend,COMM. MODULE,,KOMM.-MODUL,MÓDULO DE COM.,MODULE DE COMM.,,コミュモジュール,,MÓD. DE COM.,М. СВЯЗИ,通信模块
TXT_DialoguePanel_Answer_Timeout,Frontend,Answer Timeout,,Zeit für Antwort abgelaufen,Tiempo Para Responder,Délai de réponse,,返答の時間切れ,,Tempo limite da resposta,Время ожидания ответа,应答超时
TXT_DialoguePanel_Decision_Timeout,Frontend,Decision Timeout,,Zeit für Entscheidung abgelaufen,Tiempo Para Decidir,Délai de décision,,決断の時間切れ,,Tempo limite da decisão,Время ожидания решения,决策超时
TXT_DialoguePanel_Response_Module,Frontend,Response Module,,Reaktionsmodul,Módulo de respuesta,Module de réponse,,応答モジュール,,Módulo de resposta,Модуль ответов,响应模块
TXT_DialoguePanel_Cognitive_Test_Module,Frontend,Cognitive Test Module,,Kognitives Testmodul,Módulo de Evaluación Cognitiva,Module de test d'évaluation cognitive,,認知テストモジュール,,Módulo de teste cognitivo,Когнитивно-тестовый модуль,认知测试模块
TXT_DialoguePanel_Cognitive_Test,Frontend,Cognitive Test,,Kognitiver Test,Evaluación Cognitiva,Test d'évaluation cognitive,,認知テスト,,Teste cognitivo,Когнитивный тест,认知测试
TXT_DialoguePanel_Enable_Safe_Mode,Frontend,Enable Safe Mode,,Speichermodus aktivieren,Activar Modo de Seguridad,Activation du mode sans échec.,,セーフモード オン,,Ativar modo seguro,Перейти в безопасный режим,启用安全模式
TXT_DialoguePanel_Cognitive_Test_Subject,Frontend,ISA-ROBO-AMI-02,,ISA-ROBO-AMI-02,AEI-ROBO-AMI-02,ISA-ROBOT-AMI-02,,ISA-ROBO-AMI-02,,ISA-ROBO-AMI-02,МКА-РОБО-ЭМИ-02,国空-机器-AMI-02。
TXT_DialoguePanel_Certified_By,Frontend,Certified by,,Zertifiziert durch,Certificado por,Certifié par,,Certified by,,Certificado por,Сертифицировано:,认证方：
TXT_DialoguePanel_Panel_Pages,Frontend,{0}/{1},,{0}/{1},{0}/{1},{0}/{1},,{0}/{1},,{0}/{1},{0}/{1},{0}/{1}
TXT_DialoguePanel_Person_Location,Frontend,Person Location,,Personenstandort,Ubicación de la llamada,Colon,,場所,,Localização de indivíduo,Местонахождение:,个人地点
TXT_DialoguePanel_Killswitch_Warning,Frontend,Warning,,Warnung,Peligro,Avertissement,,警告,,Aviso,Внимание!,警告
TXT_DialoguePanel_Killswitch_Imminent_Destruction,Frontend,Imminent Destruction,,Bevorstehende Zerstörung,Destrucción Inminente,Destruction imminente,,まもなく処分,,Destruição iminente,Запускается аварийное отключение,危在旦夕
TXT_DialoguePanel_Killswitch_ISA_Protocol,Frontend,ISA's Special Protocol<br>Maximum Security Authorization<br>Level: Omega<br>Codename: Killswitch<br>Order: 1K1K1<br>ij-78a9a6k0ba98,,ISA-Spezialprotokoll<br>Höchste Sicherheitsstufe<br>Stufe: Omega<br>Codename: Notabschaltung<br>Befehl: 1K1K1<br>ij-78a9a6k0ba98,Protocolo especial de ISA<br>Autorización de Máxima Seguridad<br>Nivel: Omega<br>Nombre en clave: Secuencia Terminal<br>Orden: 1K1K1<br>ij-78a9a6k0ba98,Protocole spécial de l'ISA<br>Autorisation de sécurité maximale<br>Niveau : oméga<br>Nom de code : Coupe-circuit<br>Ordre : 1K1K1<br>ij-78a9a6k0ba98,,ISA特別プロトコル<br>最高セキュリティ認証<br>レベル：オメガ<br>コードネーム：キルスイッチ<br>オーダー：1K1K1<br>ij-78a9a6k0ba98,,Protocolo Especial da ISA<br>Autorização de Segurança Máxima<br>Nível: Ômega<br>Codinome: Desligamento<br>Ordem: 1K1K1<br>ij-78a9a6k0ba98,Особый протокол МКА<br>Только для уполномоченного персонала<br>Уровень доступа: омега<br>Кодовое название: тишина<br>Инструкция №1K1K1<br>ij-78a9a6k0ba98,国际空间局特别协议<br>最高安全授权<br>级别：Omega<br>代号：紧急停止<br>命令：1K1K1<br>ij-78a9a6k0ba98
TXT_DialoguePanel_Killswitch_ISA_Protocol2,Frontend,ISA's Special Protocol,,ISA-Spezialprotokoll,Protocolo especial de ISA,Protocole spécial de l'ISA,,ISA特別プロトコル,,Protocolo Especial da ISA,Особый протокол МКА,国际空间局特别协议
TXT_DialoguePanel_Killswitch_Maximum_Security,Frontend,Maximum Security Authorization,,Höchste Sicherheitsstufe,Autorización de Máxima Seguridad,Autorisation de sécurité maximale,,最高セキュリティ認証,,Autorização de Segurança Máxima,Только для уполномоченного персонала,最高安全授权
TXT_DialoguePanel_Killswitch_Level_Omega,Frontend,Level: Omega,,Stufe: Omega,Nivel: Omega,Niveau : oméga,,レベル：オメガ,,Nível: Ômega,Уровень доступа: омега,级别：Omega
TXT_DialoguePanel_Killswitch_Codename_Killswitch,Frontend,Codename: Killswitch,,Codename: Notabschaltung,Nombre en clave: Secuencia Terminal,Nom de code : Coupe-circuit,,コードネーム：キルスイッチ,,Codinome: Desligamento,Кодовое название: тишина,代号：紧急停止
TXT_DialoguePanel_Killswitch_Order_1K1K1,Frontend,Order: 1K1K1,,Befehl: 1K1K1,Orden: 1K1K1,Ordre : 1K1K1,,オーダー：1K1K1,,Ordem: 1K1K1,Инструкция №1K1K1,命令：1K1K1
TXT_DialoguePanel_Killswitch_Number,Frontend,ij-78a9a6k0ba98,,ij-78a9a6k0ba98,ij-78a9a6k0ba98,ij-78a9a6k0ba98,,ij-78a9a6k0ba98,,ij-78a9a6k0ba98,ij-78a9a6k0ba98,ij-78a9a6k0ba98
TXT_DialoguePanel_Killswitch_Security_Measure,Frontend,Security Measure - Killswitch,,Sicherheitsmaßnahme - Notabschaltung,Medida de Seguridad - Secuencia Terminal,Mesure de sécurité - coupe-circuit,,セキュリティ対策―キルスイッチ,,Medida de Segurança - Desligamento,Устройство аварийного отключения,安保措施 - 紧急停止按钮
TXT_BuildPanel_Basic,Frontend,Core,,Haupt,Escenciales,Noyau,B�S�C,コア,BASICB,Principais,Основные,核心类别
TXT_BuildPanel_Mines,Frontend,Mines,,Minen,Minas,Mines,M�N3S,採鉱所,MINESI,Minas,Шахты,采掘
TXT_BuildPanel_Factories,Frontend,Factories,,Fabriken,Fábricas,Usines,F�C7�R�3S,工場,FACTORIESFAC,Fábricas,Фабрики,制造类别
